mu_1,sigma_1,mu_2,sigma_2,mu_3,sigma_3,mu_4,sigma_4
9.0,9.45,9.0,6.75,5.0,9.45,5.0,6.75
9.0,9.8,9.0,7.0,5.0,9.8,5.0,7.0
9.0,10.15,9.0,7.25,5.0,10.15,5.0,7.25
9.0,10.5,9.0,7.5,5.0,10.5,5.0,7.5
9.0,4.0,9.0,2.5,5.0,4.0,5.0,2.5
9.0,4.4,9.0,2.75,5.0,4.4,5.0,2.75
9.0,4.8,9.0,3.0,5.0,4.8,5.0,3.0
9.0,5.2,9.0,3.25,5.0,5.2,5.0,3.25
9.0,5.6,9.0,3.5,5.0,5.6,5.0,3.5
9.0,6.0,9.0,3.75,5.0,6.0,5.0,3.75
9.0,6.4,9.0,4.0,5.0,6.4,5.0,4.0
9.0,6.8,9.0,4.25,5.0,6.8,5.0,4.25
9.0,7.2,9.0,4.5,5.0,7.2,5.0,4.5
9.0,7.6,9.0,4.75,5.0,7.6,5.0,4.75
9.0,8.0,9.0,5.0,5.0,8.0,5.0,5.0
9.0,8.4,9.0,5.25,5.0,8.4,5.0,5.25
9.0,8.8,9.0,5.5,5.0,8.8,5.0,5.5
9.0,9.2,9.0,5.75,5.0,9.2,5.0,5.75
9.0,9.6,9.0,6.0,5.0,9.6,5.0,6.0
9.0,10.0,9.0,6.25,5.0,10.0,5.0,6.25
9.0,10.4,9.0,6.5,5.0,10.4,5.0,6.5
9.0,10.8,9.0,6.75,5.0,10.8,5.0,6.75
9.0,11.2,9.0,7.0,5.0,11.2,5.0,7.0
9.0,11.6,9.0,7.25,5.0,11.6,5.0,7.25
9.0,12.0,9.0,7.5,5.0,12.0,5.0,7.5
9.0,4.5,9.0,2.5,5.0,4.5,5.0,2.5
9.0,4.95,9.0,2.75,5.0,4.95,5.0,2.75
9.0,5.4,9.0,3.0,5.0,5.4,5.0,3.0
9.0,5.85,9.0,3.25,5.0,5.85,5.0,3.25
9.0,6.3,9.0,3.5,5.0,6.3,5.0,3.5
9.0,6.75,9.0,3.75,5.0,6.75,5.0,3.75
9.0,7.2,9.0,4.0,5.0,7.2,5.0,4.0
9.0,7.65,9.0,4.25,5.0,7.65,5.0,4.25
9.0,8.1,9.0,4.5,5.0,8.1,5.0,4.5
9.0,8.55,9.0,4.75,5.0,8.55,5.0,4.75
9.0,9.0,9.0,5.0,5.0,9.0,5.0,5.0
9.0,9.45,9.0,5.25,5.0,9.45,5.0,5.25
9.0,9.9,9.0,5.5,5.0,9.9,5.0,5.5
9.0,10.35,9.0,5.75,5.0,10.35,5.0,5.75
9.0,10.8,9.0,6.0,5.0,10.8,5.0,6.0
9.0,11.25,9.0,6.25,5.0,11.25,5.0,6.25
9.0,11.7,9.0,6.5,5.0,11.7,5.0,6.5
9.0,12.15,9.0,6.75,5.0,12.15,5.0,6.75
9.0,12.6,9.0,7.0,5.0,12.6,5.0,7.0
9.0,13.05,9.0,7.25,5.0,13.05,5.0,7.25
